ID,关键词,搜索人气,在线商品数,真实在线>综合,真实在线>销量,点击率,支付转化率,商城占比,蓝海值,倍数,搜索关键词,真实搜索人气,,
16,洁芙柔免洗消毒凝胶,32921,391,402,143,91.49%,8.03%,1.54%,6090.392599941,84.19693094629,消毒凝胶洁芙柔,55964,发货待定,
4,健之素消毒泡腾片,14170,171,168,365,101.15%,11.1%,11.29%,8253.443485477,82.86549707602,健之素消毒泡腾片,12924,成本18元 售价38 发货待定,
1,触爱cici私处正品,7343,167,167,146,117.2%,6.69%,11.88%,3037.982733653,43.97005988024,触爱cici私处正品,4199,,
7,南鹰牌消毒粉,5766,56,53,75,109.62%,14.87%,3.52%,16192.90114583,102.9642857143,南鹰牌消毒粉,2777,发货待定,
9,酒精利尔康,5694,9,9,53,106.68%,11.55%,8.73%,71148.86966435,632.6666666667,酒精利尔康,2718,发货待定,
24,甘草片100片 瓶装,5593,213,211,200,68.4%,14.92%,13.52%,2317.42581672,26.25821596244,甘草片100片 瓶装,2636,高利润,https://mobile.yangkeduo.com/goods.html?goods_id=5396103696&gallery_id=82382758870&refer_page_el_sn=99369&refer_rn=d3184374-fce1-4d08-a214-c63901e4ed04&refer_page_name=search_result&refer_page_id=10015_1581748270545_eJGtMR5QLj&refer_page_sn=10015
9,华福恩回修宁,5337,59,59,56,86.74%,11.32%,6.17%,8333.985857444,90.45762711864,华福恩回修宁,2433,淘宝没卖家 成本106 ,
1,百惠宁hp牙膏,4848,21,21,5836,71.37%,14.67%,16.11%,20276.79397054,230.8571428571,百惠宁,2068,错别词 成本93 ,
1,易适康免洗消毒液,4450,50,50,54,94.45%,6.67%,1.15%,5542.356625513,89,易适康免洗消毒液,1794,成本43 售价49.8 顺丰发货,
8,佳必得归严宁官网,4067,57,57,56,80.97%,9.56%,11.19%,4905.047817145,71.35087719298,佳必得归严宁官网,1545,利润低 发货待定,
7,洛本清消毒液,3991,10,10,27,67.01%,3.21%,2.85%,8340.059517088,399.1,洛本清,1497,,
35,碧幽堂抑菌膏,3943,83,82,83,80.92%,10.51%,12%,3555.411985216,47.50602409639,碧幽堂,1467,,
